Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_1060_1x2032,1,CR2032,
"C1, C2",0402,2,10pF,C650948
"C10, C11, C12, C13, C14, C16, C17, C3, C4, C5, C6, C8",0402,12,100nF,
"C15, C7",0603,2,2.2uF,
"C18, C19",0402,2,4.7uF,
C9,0402,1,22uF,
"D1, D2, D3",0603,3,LED,
"H1, H2, H3",MountingHole_3.2mm_M3,3,MountingHole,
J2,SMA_Amphenol_132289_EdgeMount,1,Conn_Coaxial,
J3,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,PWRConn,
J4,PinHeader_1x03_P2.54mm_Horizontal,1,Servo_Conn_1,
J5,PinHeader_1x03_P2.54mm_Horizontal,1,Servo_Conn_2,
J6,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle,
L1,1210,1,12uH,
"Q1, Q2",SOT-23,2,2N7002,
"R1, R13, R14, R15, R16",0402,5,10k,
"R10, R11, R12, R5, R6, R7, R8, R9",0402,8,0,
"R17, R18, R19",0603,3,5.1K,
"R2, R4",0402,2,1k,
R3,0402,1,2k,
U1,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,
U2,QFN-36-1EP_6x6mm_P0.5mm_EP4.1x4.1mm,1,STM32F103T8Ux,
U3,ublox_SAM-M8Q,1,SAM-M8Q,
U4,XCVR_RFM95W-915S2,1,RFM95W-915S2,
U5,SOT-23-6,1,TPS560430X3FDBVR,
U6,SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,1,CP2102N-Axx-xQFN20,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8MHz,C20606311
