Designator,Mid X,Mid Y,Rotation,Layer
BT1,108.702931,-142.247612,90.0,bottom
C1,94.390557,-152.952738,270.0,top
C10,93.490557,-132.70274,270.0,top
C11,105.715559,-162.447738,180.0,top
C12,91.490557,-134.802739,180.0,top
C13,99.915558,-150.607738,90.0,top
C14,103.090557,-115.952738,0.0,top
C15,122.090557,-142.352738,180.0,top
C16,122.170557,-121.452738,180.0,top
C17,119.129968,-119.792149,315.0,top
C18,119.990557,-118.852738,315.0,top
C19,120.590557,-120.852738,225.0,top
C2,88.990557,-152.952738,90.0,top
C3,96.278057,-141.090238,0.0,top
C4,90.690557,-141.052738,0.0,top
C5,90.578057,-149.690238,180.0,top
C6,93.928057,-150.190238,180.0,top
C7,122.090557,-144.352738,180.0,top
C8,125.490557,-137.652738,90.0,top
C9,127.290557,-135.152738,180.0,top
D1,130.040809,-130.156775,180.0,top
D2,130.040809,-127.056775,180.0,top
D3,130.040809,-124.056775,180.0,top
J2,110.040557,-106.902738,90.0,top
J3,124.790557,-155.402738,180.0,top
J4,99.075557,-104.477738,90.0,top
J5,120.540557,-104.377738,90.0,top
J6,128.390557,-116.952738,90.0,top
L1,127.190557,-140.652738,0.0,top
Q1,91.590557,-117.715238,270.0,top
Q2,119.090557,-114.090239,270.0,top
R1,88.690557,-148.252738,0.0,top
R10,99.040557,-145.890238,0.0,top
R11,99.040557,-147.290237,0.0,top
R12,88.390557,-133.002739,0.0,top
R13,91.503057,-120.315238,180.0,top
R14,92.150556,-115.115238,0.0,top
R15,119.065558,-116.690239,180.0,top
R16,119.490557,-111.252738,0.0,top
R17,122.290557,-119.352738,270.0,top
R18,122.490557,-114.352738,90.0,top
R19,115.590557,-116.352738,135.0,top
R2,122.590557,-130.152738,180.0,top
R3,122.590557,-127.052738,180.0,top
R4,122.590557,-124.052738,180.0,top
R5,88.490557,-146.552738,0.0,top
R6,110.615557,-144.017738,90.0,top
R7,93.790557,-140.452738,90.0,top
R8,106.815558,-144.027738,270.0,top
R9,99.040557,-144.590238,0.0,top
U1,91.490557,-132.627738,180.0,top
U2,93.390557,-145.390238,180.0,top
U3,108.715557,-153.502738,90.0,top
U4,103.040557,-125.977738,90.0,top
U5,122.990557,-138.515238,90.0,top
U6,117.156242,-122.179084,135.0,top
Y2,91.690557,-152.952738,0.0,top
